Saint Vincent and Grenadines;-;-;1;1;1;1;1;-;1;1;1
Vanuatu;-;-;-;-;1;1;1;1;2;1;1
Samoa;-;-;-;-;-;-;-;-;-;-;-
Andorra;-;-;-;-;-;-;-;-;-;-;-
Bahamas;-;-;-;-;-;-;-;-;-;-;-
British overseas citizens;-;-;-;-;-;-;-;-;-;-;-
British overseas citizens;-;2;-;-;-;-;-;-;-;-;-
Yugoslavia;-;-;-;-;-;-;-;-;-;-;-
Kiribati;-;-;-;-;-;-;-;-;-;-;-
Comoros;-;-;-;-;-;-;-;-;-;-;-
Macao;-;-;-;-;-;-;-;-;-;2;-
Marshall Islands;-;-;-;-;-;-;-;-;-;-;-
Portoriko;-;-;-;-;-;-;-;-;-;-;-
Equatorial Guinea;-;-;-;-;-;-;-;-;-;-;-
Saint Pierre a Miquelon;-;-;-;-;-;-;-;-;-;-;-
Soviet Union (ex-);-;-;-;-;-;-;-;-;-;-;-
Swaziland;-;-;-;-;-;-;1;-;-;-;-
Wallis a Futuna;-;-;-;-;-;-;-;-;-;-;-
"Stateless + Other + 
Not identified";435;425;497;621;607;1 676;639;1 283;1 148;983;849
